"GeneName"	"NAc1"	"NAc2"	"NAc3"	"NAc4"	"DG1"	"DG2"	"DG3"	"DG4"
"Pdyn"	0.884885907862923	1.49861989473018	2.11207136146005	0.813044556043973	-1.06235938839881	-0.980977828852212	-0.694686100530552	-1.11039300836584
"AABR07065531.3"	1.0286792688052	1.3677982326322	2.29144646045018	1.05345461677802	-0.366281094113434	-0.459084018735452	-0.275675926207972	-0.458596111940527
"Kcna5"	1.16765917094431	1.98131527291268	1.3686949102798	1.22231539746543	-0.693248580454316	-0.627299785730925	-0.718657475453329	-0.710983100124489
"Arpp21"	0.7862658661186	2.48357720103382	1.09102014734583	0.777395612297679	-0.449106575410744	-0.501828314431081	-0.796865751219385	-0.405411635856131
"Ankrd63"	0.643425858872822	2.84274216615554	0.714024423080809	0.64176013367345	-0.63843846035292	-0.775061184727396	-0.67961091144464	-0.676550644873706
"Ric8b"	1.20405220481702	1.12502787828679	1.72066586116933	1.25256377240659	-0.613120545307867	-0.638460092576351	-0.76052815132477	-0.596204856316446
"Ramp1"	1.25711990903303	1.32858118982913	1.48865498408811	1.40069106687583	-0.805880721270969	-0.694829072438954	-0.770824819898319	-0.821156209322957
"Krt1"	1.47427716365523	1.20840539013135	1.76850416055468	1.50542363609932	-0.550826606499585	-0.552883755852651	-0.715334193040656	-0.55235472003767
"Gcnt2"	1.12936602522583	1.81799490284646	1.19587663729478	1.19901509348621	-0.749780176668992	-0.709425551775655	-0.792668479589861	-0.759901640180057
"Lypd1"	0.955616280901943	1.83130213853588	1.58526257530974	0.902798032354438	-0.810548006743605	-0.426115260340851	0.685509162407815	-1.0673736010728
"Nkx2-1"	1.55340256706293	1.5674762354861	0.990196767829379	1.69416834175258	-0.724861134763154	-0.72532729590651	-0.724922671610282	-0.749986955485768
"Syt6"	1.28056070002338	1.63490340562368	1.19956875033123	1.36964711698205	-0.739275837884168	-0.78920568775267	-1.08473448253248	-0.585435927741169
"Oprm1"	1.56969014150462	0.760457797414642	1.31080833305298	1.66100770020015	-1.02404049582943	-0.960553431865002	-0.208224764002837	-1.16609312253641
"Galr1"	1.10251342569155	0.328999831814949	2.5916353054439	1.2122908791755	-0.577262388927525	-0.303062015558448	0.738930832235985	-0.85589727682794
"Mybpc2"	0.959571863084306	2.25803875731287	1.38907793435855	1.0399119343412	-0.574106390915983	-0.828360613315085	-0.929228963209176	-0.47368105358762
"Vat1l"	1.46213663868802	0.693826333301813	1.66400553684452	1.56867497971765	-0.549581572321112	-0.342494259658083	0.539750944158288	-0.816324889435993
"Ptprv"	1.35030607012724	1.29103332843023	1.49943434126272	1.33283490682701	-1.00143307794816	-0.898188341601769	-1.14831943456217	-0.960577667339595
"Neu2"	0.841836782863556	2.67979522360103	0.910922457679124	0.863394599896444	-0.496018549103284	-0.471453228997582	-0.640157694264048	-0.484106953182597
"Slc24a1"	1.16063728353568	1.79591569205676	1.65107622745693	1.18780804685733	-0.133430317153054	0.265769760484133	-0.133797399445334	-0.305656242214304
"Chodl"	1.36529784273388	0.869349381478733	1.99164998049384	1.31124672708989	-0.575393663119362	-0.430076225316166	0.0898556832961943	-0.798682606154529
"Ntn1"	1.04447497454474	1.87826923056094	1.49148086939689	1.07494131391703	-0.672506720503833	-0.67389879813225	-0.788007530886997	-0.668533407143041
"Gng7"	0.877515119110497	2.39736420107795	1.04356239980143	0.897290662844911	-0.850521541589413	-0.872419236073703	-0.88375590762185	-0.839863086206619
"Klhl1"	0.910433694472587	1.73139021014101	2.06307513305031	0.803241410774903	0.215734607988795	0.1556411907599	0.215280994749782	0.0998067947180009
"Nts"	0.773062351605886	2.52852384108548	0.792967393461915	0.636602195015233	-0.674094010583303	-0.865884581280009	1.49305536030765	-0.954080938997816
"Cckar"	1.44963414738552	1.38165200506537	1.24800309220521	1.47518286069271	-0.780480464856472	-0.541914118241037	-0.541046161471449	-0.78085186495292
"Gpr149"	1.4347691390961	1.26295864618205	1.43802876734454	1.52056685678804	-0.789829881822019	-0.784798877947125	-0.829879082684017	-0.784624183275184
"Crip3"	1.11014090544221	1.21012772614157	1.89299481205958	1.30687444920391	-0.679420627366985	-0.532290155986195	-0.382302436464164	-0.680342635199426
"AABR07031768.1"	1.39209388739009	-0.0838959998237868	2.37351293817296	1.71081134386195	0.0533707869691867	-0.200896964072279	-0.703256188422856	0.554959644015789
"Slc4a11"	1.05604874031001	2.03947760991613	0.862445982921908	1.13498307358351	-0.712400435190819	-0.812562032740565	-1.30252967881579	-0.39753457811725
"Klhl13"	1.2059259134773	1.16280260314007	1.48962950236475	1.2180783393044	-0.746779980529455	-0.763228374897796	-0.844937058595861	-0.737165757825501
"Meox2"	0.646682750003835	0.131918482248838	3.12830524038665	0.542470177311167	-0.67108056370029	-0.671848397242231	-0.671181923618343	-0.619173963718445
"Pou3f4"	1.02537859628843	1.54439080915722	1.62486890543962	1.04126667181902	-0.686200052376408	-0.766643532100528	-0.902760451334147	-0.638535559307634
"AABR07060473.1"	1.10826804832662	1.91017669370057	1.77671355484536	0.955988901826608	0.0771154749625867	-0.0861874821244599	-0.719801070488111	0.551102990665084
"Krt77"	0.986438522392524	1.50318282385869	2.00623706631798	0.870942973558853	-0.776271565586299	-0.777271999061064	-0.816339286822312	-0.777014718208866
"Slc32a1"	1.07745215987889	1.70127580547895	1.17272883490563	1.11637409793778	-0.64491099689161	-0.653488220301763	-0.845777900647549	-0.611722092385919
"Rasgrp4"	1.36382157177687	1.77826489152741	1.29901514206764	1.4000497056387	-0.76238406008465	-0.9178038656601	-0.762763098595636	-0.917147492377988
"Pbx3"	1.12325880498164	1.50652994235027	1.57628644576386	1.07241974566624	-0.82117768393554	-0.73326899133004	-0.217782467701644	-0.956134983524413
"AABR07066798.1"	1.50708888473261	2.06695978344177	1.16361481417438	1.54728587651531	-0.582658832203955	-0.586406946534975	-0.383662212063294	-0.386206027910482
"LOC100912028"	0.788263703628279	1.0835094782663	2.56128105950818	0.810963454600465	-0.767464559486863	-0.768797238402904	-0.448450400939027	-0.927846047674642
"Xkrx"	1.1006808638579	1.53017845764032	1.62318089033481	1.29858003159686	-0.553390614333818	-0.406514284256602	-0.330333463010163	-0.628992884743516
"Kcnk2"	1.24844181403199	0.942026760550995	1.54256753979304	1.29848850039693	-0.589189765510266	-0.643892492799535	-0.962812416377731	-0.50667796709236
"AABR07013073.1"	0.986855955145516	1.82099232132453	1.74385733272005	1.01951528550897	-0.792090264283845	-0.794966357574959	-0.654699242839935	-0.794226714458646
"Arhgap6"	0.905667829093767	1.45078015419131	1.84928168209222	0.806164944009593	-0.801364532604972	-0.636142464617435	0.0292376273217947	-0.974412168632683
"Mme"	1.09295112523404	1.54430891199895	1.44339987158748	1.12994961660164	-0.825931603074786	-0.842869819568436	-0.938049972235627	-0.789368511494032
"Gpr52"	1.12252249578869	1.61909845046641	1.35344167821243	1.15777701291851	-0.791437679730088	-0.776589138156929	-0.707002420262952	-0.832589613444835
"Gpr6"	0.716992384011105	2.82911439775342	0.989153018829762	0.701857291827423	-0.671597191820329	-0.687017830726645	-0.779042353421325	-0.656977161431726
"Htr4"	1.38931936330259	1.78225224186504	0.508997260854031	1.52602494692693	-1.16309446078821	-1.04269123490213	0.0261887374043026	-1.30421638397122
"Crabp1"	1.3082371932195	1.55563737413872	0.782153866455912	1.46119647963367	-0.695393524396779	-0.67634926326241	0.212054210634104	-0.865561278560143
"AABR07059679.2"	1.01157965344766	1.5389536215455	1.27485217145913	1.01010095790313	-0.68754296110304	-0.778913512668905	-0.892862833689891	-0.653718753398654
"Avp"	0.211263053006217	-0.504963753286742	3.55803999106667	0.147225972198871	-0.387353158945347	-0.387743578781707	0.423010973432681	-0.512163523792565
"Brs3"	0.982200566482125	1.69956555782578	2.311649120947	1.00721851608693	-0.732405524706761	-0.733874302668322	0.322762127229812	-1.08483517694299
