"digit","M_connections","Time","Accuracy.FF","Accuracy.baseline","release.probability"
4,5,40,93.19,90.18,1
7,5,10,93.17,89.72,1
2,5,20,90.2533333333333,89.68,0.5
5,5,30,91.81,91.08,1
4,5,30,90.18,90.18,1
4,5,10,91.2833333333333,90.18,0.5
2,5,10,92.27,89.68,0.5
7,5,10,91.99,89.72,1
0,5,40,93.28,90.2,1
1,5,60,94.55,88.65,1
3,5,30,89.94,89.9,1
5,5,40,92.63,91.08,1
9,5,50,92.85,89.91,1
3,5,20,91.07,89.9,1
6,5,50,95.08,90.42,1
4,5,20,91.6666666666667,90.18,0.5
6,5,80,93.87,90.42,1
4,5,10,91.3366666666667,90.18,0.5
3,5,50,93.6,89.9,1
7,5,80,93.51,89.72,1
1,5,10,88.96,88.65,1
8,5,40,90.26,90.26,1
6,5,80,93.17,90.42,1
4,5,10,91.91,90.18,1
6,5,50,94.82,90.42,1
8,5,50,91.06,90.26,1
2,5,10,93.0733333333333,89.68,0.5
3,5,80,92.99,89.9,1
4,5,10,90.19,90.18,0.5
8,5,50,91.53,90.26,1
4,5,40,92.74,90.18,1
8,5,60,90.9,90.26,1
8,5,20,90.29,90.26,1
2,5,10,92.77,89.68,1
3,5,40,93.61,89.9,1
3,5,20,90.9,89.9,1
2,5,10,92.8466666666667,89.68,0.5
3,5,30,90.1733333333333,89.9,0.5
7,5,30,90.38,89.72,1
4,5,30,92.45,90.18,1
3,5,10,91.86,89.9,1
2,5,50,94.87,89.68,1
2,5,20,90.02,89.68,0.5
4,5,20,90.61,90.18,1
3,5,30,92.49,89.9,0.5
2,5,10,92.5766666666667,89.68,0.5
7,5,30,89.82,89.72,0.5
3,5,30,90.17,89.9,0.5
7,5,20,90.99,89.72,1
2,5,30,93.7333333333333,89.68,0.5
4,5,20,91.28,90.18,1
3,5,80,93.08,89.9,1
9,5,50,92.31,89.91,1
4,5,20,92.89,90.18,1
9,5,50,92.48,89.91,1
9,5,30,91.69,89.91,1
5,5,100,92.18,91.08,1
3,5,20,90.23,89.9,1
2,5,10,94.27,89.68,1
2,5,20,90.39,89.68,1
2,5,50,94.25,89.68,1
4,5,20,91.95,90.18,0.5
7,5,20,93.34,89.72,0.5
8,5,20,90.76,90.26,1
3,5,20,91.8766666666667,89.9,0.5
4,5,10,91,90.18,1
3,5,30,93.2,89.9,1
2,5,10,91.72,89.68,1
0,5,40,93.08,90.2,1
4,5,20,92.45,90.18,1
2,5,20,93.1766666666667,89.68,0.5
8,5,60,91.29,90.26,1
3,5,50,91.2633333333333,89.9,0.25
0,5,30,93.12,90.2,1
2,5,20,91.47,89.68,1
4,5,60,92.21,90.18,1
3,5,20,89.91,89.9,1
0,5,60,92.78,90.2,1
3,5,30,92.74,89.9,1
1,5,80,94,88.65,1
1,5,40,93.68,88.65,1
4,5,40,90.6333333333333,90.18,0.5
3,5,30,90.5533333333333,89.9,0.5
1,5,80,94.42,88.65,1
2,5,10,91.4433333333333,89.68,0.5
2,5,20,93.4433333333333,89.68,0.5
3,5,30,92.2466666666667,89.9,0.5
3,5,20,89.9,89.9,1
2,5,20,93.86,89.68,1
3,5,40,93.56,89.9,1
6,5,60,94.47,90.42,1
6,5,20,94.34,90.42,1
0,5,40,93.48,90.2,1
3,5,80,93.2,89.9,1
9,5,20,90.93,89.91,1
4,5,40,92.97,90.18,1
4,5,30,90.18,90.18,0.5
9,5,40,91.78,89.91,1
2,5,20,90.89,89.68,0.5
7,5,10,94.14,89.72,1
6,5,50,94.54,90.42,1
3,5,20,90.1833333333333,89.9,0.5
8,5,40,91.02,90.26,1
6,5,30,94.46,90.42,1
9,5,40,92.09,89.91,1
4,5,20,93.27,90.18,1
5,5,80,92.29,91.08,1
2,5,20,90.2666666666667,89.68,0.5
3,5,40,93.35,89.9,1
2,5,10,92.5866666666667,89.68,0.5
0,5,40,93.04,90.2,1
6,5,60,94.42,90.42,1
2,5,10,93.0033333333333,89.68,0.5
3,5,30,89.9,89.9,1
7,5,20,94.28,89.72,1
3,5,50,93.72,89.9,1
2,5,20,91.95,89.68,1
1,5,20,89.51,88.65,1
3,5,40,93.72,89.9,1
3,5,30,92.5,89.9,1
4,5,40,92.97,90.18,1
3,5,20,90.06,89.9,1
2,5,10,91.0466666666667,89.68,0.5
5,5,40,92.11,91.08,0.5
9,5,20,90.95,89.91,1
2,5,40,95.24,89.68,1
8,5,20,90.79,90.26,1
2,5,10,90.57,89.68,1
4,5,10,91.81,90.18,1
8,5,50,91.19,90.26,1
6,5,100,92.43,90.42,1
3,5,50,93.51,89.9,1
2,5,20,93.0533333333333,89.68,0.5
1,5,40,92.39,88.65,1
3,5,60,93.84,89.9,1
5,5,20,91.53,91.08,1
1,5,30,90.22,88.65,1
3,5,20,93.37,89.9,1
3,5,40,93.79,89.9,1
1,5,20,89.46,88.65,1
3,5,20,92.33,89.9,1
7,5,20,94.08,89.72,1
2,5,40,94.87,89.68,1
7,5,30,90.62,89.72,1
6,5,40,94.71,90.42,1
4,5,10,90.41,90.18,1
9,5,20,91.09,89.91,1
0,5,60,92.72,90.2,1
0,5,80,91.61,90.2,1
4,5,60,91.62,90.18,1
2,5,10,92.3166666666667,89.68,0.5
5,5,50,92.73,91.08,1
2,5,30,94.52,89.68,1
5,5,30,91.98,91.08,1
7,5,20,91.7566666666667,89.72,0.5
3,5,20,91.4366666666667,89.9,0.5
3,5,20,89.97,89.9,0.5
3,5,20,93.26,89.9,1
0,5,20,92.11,90.2,1
3,5,60,93.83,89.9,1
4,5,80,91.74,90.18,1
0,5,20,91.89,90.2,1
8,5,80,90.77,90.26,1
3,5,20,92.3433333333333,89.9,0.5
9,5,10,90.14,89.91,1
2,5,10,90.57,89.68,1
8,5,10,90.44,90.26,1
7,5,20,91.63,89.72,1
6,5,40,95.05,90.42,1
5,5,60,92.44,91.08,1
4,5,20,90.2733333333333,90.18,0.5
